Company,Sector,Price,Market Cap,Free Float Market Cap %,6m ADV,RoE %,RoCE %,EBIT Margin %,EPS,PAT %,Stock Return %
Nitco Ltd.,Const. Materials,58.35,46.95066769,0.3043,0.194934281,-1,-0.048228149,-0.07638653,188.5027506,-0.134831131,22.71293375
KSK Energy Ventures Ltd.,Utilities,17.15,106.963165,0.3185,0.038875436,-0.101379442,0.010516664,0.071875549,222.5470796,-0.133631094,-68.15227484
Hathway Cable & Datacom Ltd.,Media & Ent.,35.4,432.4728589,0.5652,0.113646667,-0.21778847,-0.01388313,-0.044054379,42.35179069,-0.128996506,-18.99313501
Jyoti Structures Ltd.,Infra.,10.3,16.59510676,0.8135,0.071053481,-0.70680234,0.020064483,0.010904336,1874.86513,-0.126989537,-45.06666667
Hindusthan National Glass & Industries  Ltd.,Const. Materials,104.85,134.7079696,0.3002,0.001837087,-0.481209556,0.011921702,-0.008118118,172.9538057,-0.124743243,15.15650741
Jet Airways (India) Ltd.,Misc.,372.25,622.0450955,0.49,10.56904274,-0.503002475,-0.070739002,-0.052116721,346.6213327,-0.12247251,-49.96639785
Siti Cable Network Ltd.,Media & Ent.,37.15,433.9872251,0.2901,0.063850394,-0.731665333,0.023394035,0.00229709,20.87455454,-0.119645138,0.269905533
Pioneer Distilleries Ltd.,Alcohol,186.1,36.65113117,0.25,0.046232621,-0.289287256,1,0.026867191,49.71779814,-0.118811542,-45.34508076
Bhushan Steel Ltd.,Metals & Mining,41.95,139.7807168,0.4095,0.106275659,-0.146643657,0.027256505,0.115911505,761.6051015,-0.117414703,-6.777777778
Asian Hotels (East) Ltd.,Hospitality,191.3,32.43994494,0.3463,0.00486495,-0.028557014,0.016044475,0.064779312,58.08092737,-0.117029391,9.879379667
Uttam Sugar Mills Ltd.,Agri,69.7,39.10307197,0.25,0.081661107,-1,-0.035644537,-0.050071457,194.2590088,-0.114729565,120.9191759
Shree Renuka Sugars Ltd.,Sugar,14.95,204.2619477,0.4455,0.919119692,-0.805970013,-0.065933353,-0.056581084,493.8557628,-0.113413565,2.749140893
Jaiprakash Associates Ltd.,Infra.,10.4,372.1322723,0.6062,3.859246922,-0.175128799,0.052010142,0.231998075,526.981438,-0.112634544,-14.04958678
Jubilant Industries Ltd.,Chemicals,291.85,51.15347172,0.3129,0.165743698,-0.842484795,-0.115168119,-0.063591163,167.7698446,-0.109997541,27.83618046
Mercator Ltd.,Logistics,44.45,160.1272691,0.5945,1.068376648,-0.155916885,-0.055090679,-0.117848074,193.0734357,-0.108987738,53.54058722
Harrisons Malayalam Ltd.,Agri,76.55,20.78201211,0.497,0.122084635,-0.116538874,-0.050799908,-0.073674831,159.3065187,-0.107106935,25.80115037
United Spirits Ltd.,Cons. Disc.,1919.1,4102.654685,0.4152,8.779135038,-0.541099122,-0.012809683,-0.020340463,22.7535333,-0.106996377,-33.79331758
Ellenbarrie Industrial Gases Ltd.,Inds. Gases & Fuels,404.9,38.99369066,0.2506,3.46E-05,-0.515723758,0.023893407,-0.011581437,22.38913489,-0.106639482,15.68571429
TV18 Broadcast Ltd.,Media & Ent.,38,958.3066006,0.396,2.029612867,-0.069571384,0.069382752,0.091666104,24.19259555,-0.102894575,-19.14893617
DQ Entertainment (International) Ltd.,Media & Ent.,22.3,26.00780902,0.25,0.021979086,-0.042120122,0.035854006,0.14552992,74.89980242,-0.102875812,-50.2787068
Sequent Scientific Ltd.,Healthcare,123,441.0054701,0.4375,0.086626103,-0.638513514,-0.004162752,-0.026725316,10.55234077,-0.101533423,-48.60008358
Jindal Photo Ltd.,Photographic Product,79.85,12.04953355,0.2728,0.008492483,-0.097662252,7.60E-05,-0.014853296,259.5208435,-0.1007961,-8.554741182
Valecha Engineering Ltd.,Infra.,26.65,8.832379179,0.6749,0.013524174,-0.268923084,0.0006559,-0.017121957,774.4805023,-0.100767407,-44.59459459
Ind-Swift Laboratories Ltd.,Healthcare,37.7,23.00512616,0.4734,0.06194882,-0.099959905,0.013017046,0.006773596,287.0892043,-0.100749133,-10.13110846
Vikas WSP Ltd.,Chemicals,6.99,14.13213823,0.7511,0.010329043,-0.055390174,-0.030616028,-0.066271414,556.2588528,-0.100023826,-32.20174588
Allsec Technologies Ltd.,IT,398.35,89.29371672,0.5965,0.165600313,-0.21036953,-0.132063418,-0.133567546,16.89480576,-0.098303062,185.7604017
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,Chemicals,248.45,568.0170009,0.5882,2.25606537,-0.116874835,0.018676058,0.008869213,81.71439574,-0.097390581,200.4232164
TRF Ltd.,Cap. Goods,209.55,33.92329815,0.6588,0.158783145,-1,-0.038582337,-0.027053014,331.9002754,-0.097005529,-48.93383697
Network 18 Media & Investment Ltd.,Media & Ent.,35.1,540.5691639,0.25,0.211820796,-0.140176782,0.018143945,-0.035374548,57.83843047,-0.096511599,-38.85017422
Taneja Aerospace & Aviation Ltd.,Aviation,47.65,17.47498546,0.4893,0.01948087,-0.073435525,-0.034552104,-0.10374568,46.62390145,-0.092788971,-33.310007
Timex Group India Ltd.,Cons. Durable,54.75,81.30350437,0.2507,0.053143811,-1,-0.716927454,-0.071298117,17.50970036,-0.089140208,46.78284182
Sasken Communication Technologies Ltd.,IT,402.75,104.9816819,0.5934,0.149128653,-0.087019237,0.082950683,0.048487663,40.76996027,-0.08686715,6.028695538
Zee Media Corporation Ltd.,Media & Ent.,39.3,272.1686748,0.3089,0.809077787,-0.152944098,-0.004854537,-0.020088806,19.99984019,-0.083166003,70.4989154
New Delhi Television Ltd.,Media & Ent.,74.25,70.41764033,0.3855,0.063170214,-0.480302241,0.021353715,-0.03151886,81.12697292,-0.079891191,-9.671532847
Ponni Sugars (Erode) Ltd.,Agri,221.15,27.97205129,0.5764,0.049289952,-0.103169722,-0.045673612,-0.070231796,56.75665269,-0.079239103,19.18620318
Madras Fertilizers Ltd.,Chemicals,15.7,37.20638842,0.1473,0.015941495,-0.490998542,-0.052668041,-0.028192518,457.4133831,-0.079165859,0
TGB Banquets And Hotels Ltd.,Hospitality,72.5,31.23365648,0.6075,0.069783164,-0.08093717,0.035610437,0.052498695,44.72575924,-0.07902937,-42.68774704
OCL Iron and Steel Ltd.,Iron & Steel,4.7,9.274387168,0.25,0.01826553,-0.144661214,0.007021168,0.004166901,1125.43641,-0.077076124,-65.69343066
Delta Corp Ltd.,Misc.,122.7,417.2018048,0.5914,8.324262805,-0.0284151,0.034031115,0.106158165,7.190143872,-0.072972967,48.63718958
Kohinoor Foods Ltd.,FMCG,91.45,47.40861799,0.478,0.11228806,-0.225061405,-0.012350715,-0.015327098,281.5341507,-0.07074172,67.49084249
BL Kashyap & Sons Ltd.,Realty,20.2,61.04571334,0.3259,0.070997886,-0.133196789,0.002449553,-0.033829994,136.6729604,-0.069337086,-9.821428571
Adani Power Ltd.,Utilities,32.7,1671.165205,0.3688,2.400845598,-0.20873801,0.07083003,0.177498296,112.6383552,-0.068020525,-5.217391304
Bilcare Ltd.,FMCG,70.2,24.31413952,0.6999,0.026587723,-0.148492679,0.00281365,-0.002053335,1107.299149,-0.066730983,13.40872375
Future Consumer Enterprise Ltd.,Retail,20.95,510.7885851,0.5643,1.476287313,-0.108807055,-0.05311174,-0.074816907,25.69082862,-0.06530727,-15.86345382
Mcnally Bharat Engineering Company Ltd.,Cap. Goods,58.5,43.53836641,0.2926,0.028042043,-0.460664028,0.103682135,0.01837917,558.0674013,-0.064208667,-43.47826087
Prime Focus Ltd.,Media & Ent.,69.65,306.2212395,0.65,0.080853286,-0.110772544,0.015758068,0.008643336,52.49751228,-0.06371668,23.71225577
NIIT Ltd.,IT,88.75,216.3524429,0.6588,1.024402806,-0.085873044,-0.048975736,-0.085493565,44.2510372,-0.062963373,-5.585106383
Elpro International Ltd.,Misc.,43.8,44.57004342,0.3435,0.003281163,-0.012501679,0.052293924,0.415424724,8.227431967,-0.060267741,-5.194805195
Ashima Ltd.,Textile ,14.65,27.68239597,0.428,0.051045176,-0.061630738,-0.05664598,-0.043769946,97.92458004,-0.059761243,-26.01010101
Sakthi Sugars Ltd.,Agri,38.9,68.0086389,0.3933,0.212935582,-0.058930583,0.03437518,0.058855813,123.000359,-0.059138656,3.457446809
Sadbhav Engineering Ltd.,Infra.,273.35,689.8922645,0.5284,0.215611348,-0.143179012,0.051328927,0.105151264,49.96115158,-0.058370401,-18.14642911
Bharat Bijlee Ltd.,Cap. Goods,787.85,65.49840138,0.6441,0.139683044,-0.125199753,-0.033142837,-0.051231079,93.26746716,-0.058014003,-10.56813667
MEP Infrastructure Developers Ltd.,Realty,39.05,93.38520913,0.3052,0.127950465,-0.729746078,0.094084766,0.120503797,212.4812182,-0.057789797,-17.7028451
Garden Silk Mills Ltd.,Textile ,30.05,18.60223365,0.4225,0.023714843,-0.781295059,0.02760604,0.012405566,1419.713272,-0.055396023,-1.475409836
Diamond Power Infrastructure Ltd.,Electricals,32.65,33.15235401,0.6711,0.110236317,-0.168977112,-0.001137509,-0.006566614,854.9751547,-0.054804401,-18.57855362
Castex Technologies Ltd.,Auto Anc,8.9,49.5041629,0.5314,0.310378996,-0.047095389,0.040380098,0.124339208,597.7287821,-0.054474369,-43.31210191
Titagarh Wagons Ltd.,Industrials,127.4,216.2911279,0.5389,1.037028811,-0.061374387,0.050424121,-0.001119671,35.18945078,-0.0544726,-18.69814933
Tilaknagar Industries Ltd.,Alcohol,14.85,27.25254827,0.4504,0.04189226,-0.071229731,0.050048958,0.089882054,274.552307,-0.05355341,-36.53846154
SEL Manufacturing Company Ltd.,Textile ,3.1,15.10996823,0.8422,0.009971668,-0.13004304,0.010782417,-0.013567207,1895.0561,-0.052091487,-39.80582524
Universal Cables Ltd.,Electricals,74.85,35.22269061,0.3817,0.026357894,-0.278349623,0.031952855,0.010244016,197.0390927,-0.05190017,-17.20132743
Oudh Sugar Mills Ltd.,Agri,120.55,45.95952563,0.3832,0.351495431,-1,0.018717912,0.01111071,300.7287132,-0.051355334,212.7107652
Ashok Leyland Ltd.,Auto,85.3,3570.951144,0.4962,13.33992411,-0.182800255,0.08103999,0.061093167,42.96022791,-0.050645701,-7.982740022
Vipul Ltd.,Realty,75.3,132.9042553,0.3662,0.370801619,-0.030359582,0.020299816,0.03901389,17.60911114,-0.050035768,37.28350046
Electrosteel Castings Ltd.,Auto & Auto Anc.,24.5,128.6467337,0.4699,0.155666996,-0.055600153,0.006602544,0.099048116,186.6993068,-0.049449885,-1.606425703
Amtek Auto Ltd.,Auto Anc,34.45,113.898556,0.5258,1.213642577,-0.104972995,0.044320185,0.066449665,1313.391374,-0.04930432,-29.69387755
Manugraph India Ltd.,Cap. Goods,50.45,22.57192853,0.4249,0.010212794,-0.062655686,-0.035177122,-0.0512111,114.8595698,-0.048329825,-23.44461305
Jagatjit Industries Ltd.,Alcohol,69.1,44.36723038,0.2528,0.000749187,-0.132199263,-0.043945821,-0.037911044,187.3950645,-0.047015949,5.576776165
Tamilnadu Petroproducts Ltd.,Crude Oil,26.45,35.0065507,0.6546,0.035822351,-0.145089052,-0.099352837,-0.049557049,271.3403295,-0.044879878,18.34451902
Onmobile Global Ltd.,IT,89.2,136.8621894,0.5106,0.595117394,-0.053110422,0.001754492,-0.029677115,61.89072407,-0.044637271,-29.7914207
Graviss Hospitality Ltd.,Hospitality,23.15,24.01467924,0.2522,6.51E-05,-0.009217067,-0.004595658,-0.027934999,21.45337836,-0.042508094,-7.4
Alliance Integrated Metaliks Ltd.,Iron & Steel,101.65,17.36408601,0.2865,0.001674423,-0.030617017,0.018709881,0.035865568,248.3249045,-0.042486726,-1.310679612
KCP Sugar & Industries  Corporation Ltd.,Agri,32.1,53.54015588,0.5977,0.246520937,-0.07296219,-0.06054327,-0.073022069,79.65419493,-0.041269042,8.813559322
Astrazeneca Pharma India Ltd.,Pharma,939.4,345.4692386,0.25,0.09166973,-0.129176209,-0.130801771,-0.05161391,14.96716209,-0.040265387,-25.11459205
Jay Shree Tea & Industries  Ltd.,Agri,109.1,46.34500847,0.4358,0.20064196,-0.065224474,0.024244268,0.003266494,155.5299101,-0.03978893,23.13769752
Zuari Global Ltd.,Chemicals,103.25,44.71524291,0.3489,0.008370179,-0.028205882,0.027321083,-0.011762812,116.4442517,-0.039601808,-17.4990012
Bombay Rayon Fashions Ltd.,Textile ,145.45,391.5516182,0.323,0.032346576,-0.057296713,0.050513985,0.096073356,91.46763373,-0.038473459,-22.09426888
Hind Rectifiers Ltd.,Electricals,91.45,20.25665829,0.5552,0.010420822,-0.055388683,-0.041013491,-0.041933335,46.38879654,-0.037991576,0.605060506
The Indian Hotels Company Ltd.,Hotels; Hospitals; Hospitality,95.75,1393.394867,0.6135,1.090017024,-0.06454372,0.041698507,0.047101207,30.060682,-0.037472784,-18.95895049
ITD Cementation India Ltd.,Infra.,163.45,373.0590935,0.4837,0.22740485,-0.122757806,0.053252811,0.015258536,46.07704329,-0.03485857,51.272559
HCL Infosystems Ltd.,IT,58.15,190.6851395,0.4196,2.066927639,-0.16054448,-0.018938796,-0.018049636,326.1958439,-0.034851698,-0.085910653
Usha Martin Ltd.,Iron & Steel,17.6,78.89754225,0.5012,0.128967522,-0.084022936,0.058026131,0.065350464,578.1041931,-0.034649536,53.71179039
Fortis Healthcare Ltd.,Hotels; Hospitals; Hospitality,190.9,1352.306719,0.2873,1.904272428,-0.027458134,0.006509591,-0.02620472,29.3266442,-0.0334757,5.996668517
International Conveyors Ltd.,Cap. Goods,18,17.87290291,0.6261,0.00020125,-0.040639813,0.029026094,-0.000263299,53.5997875,-0.032255243,-36.39575972
Mangalore Refinery & Petrochemicals Ltd.,Oil & Gas,108.8,2804.982981,0.1142,1.243758727,-0.298061345,-0.100222019,-0.047084434,203.5978556,-0.032151583,58.36972344
Indian Acrylics Ltd.,Textile ,17.75,35.33345636,0.4127,0.047724006,-0.271385108,-0.021521288,-0.003048992,155.9897776,-0.031841598,24.4740533
Artson Engineering Ltd.,Cap. Goods,48.45,26.3132386,0.25,0.004472976,-0.031330521,0.262545256,0.010359612,24.59693426,-0.031364672,-15.88541667
Rane Engine Valve Ltd.,Auto & Auto Anc.,630.1,62.27767947,0.4885,0.030590205,-0.128229558,0.017973822,0.004605496,63.45451587,-0.028948833,25.91926459
Tata Steel Ltd.,Metals & Mining,419.55,5994.019028,0.6865,37.00070773,-0.103339938,0.061017799,0.046598396,232.7382168,-0.028506693,56.11162791
Shalimar Paints Ltd.,Chemicals,161.95,45.13534127,0.377,0.194055209,-0.175671889,0.030982949,0.007865087,95.99333644,-0.027350202,15.43121882
Sunshield Chemicals Ltd.,Chemicals,311.8,33.72586047,0.3764,0.011469358,-0.164339387,-0.004985847,-0.009313015,35.28612713,-0.026721454,-31.57779241
Modern India Ltd.,Trading,39.8,21.98001377,0.25,6.91E-05,-0.123146224,0.016949994,-0.035017875,96.89483379,-0.026528938,-17.08333333
Royal Orchid Hotels Ltd.,Hospitality,75.15,30.10639076,0.2921,0.046525704,-0.023167463,0.033653514,0.035623097,49.07744295,-0.026192101,-25.44642857
Hindustan Construction Company Ltd.,E&C,41.6,476.8021197,0.6393,3.463885133,-0.486385898,0.081021371,0.088140095,217.1330532,-0.025372478,59.08221797
Dhunseri Petrochem Ltd.,Chemicals,77.45,39.903898,0.317,0.030028037,-0.163247011,-0.010345072,-0.016947731,1045.572039,-0.025314939,-14.60859978
Confidence Petroleum India Ltd.,Inds. Gases & Fuels,8.34,31.75469074,0.5368,0.011307507,-0.033330826,0.016748527,0.011293033,96.51347538,-0.024667546,16.31799163
Indo Tech Transformers Ltd.,Cap. Goods,216.95,33.89245199,0.2565,0.043481388,-0.04727201,0.019189394,-0.093630842,46.29643442,-0.023644132,-18.28625235
DB Realty Ltd.,Realty,38.4,137.410077,0.381,0.205805378,-0.00170612,0.006689948,0.00671928,19.17177993,-0.022092353,-31.85448092
Gayatri Projects Ltd.,Infra.,650.45,339.1982816,0.5252,0.119607621,-0.046297862,0.035786582,0.147896092,44.24459914,-0.021115838,-11.37679678
ECE Industries Ltd.,Cap. Goods,229.75,26.11107945,0.37,0.010598889,-0.026314989,-0.005057821,-0.061704875,68.48889581,-0.020801658,35.22660388
BASF India Ltd.,Chemicals,1123.6,715.441951,0.2667,0.228858199,-0.079014024,0.000200798,-0.002547941,65.77416929,-0.020251777,20.59675861
Uni Abex Alloy Products Ltd.,Auto & Auto Anc.,350,10.16843139,0.3664,0.000514539,-0.031076617,0.001276234,-0.016498442,76.89406262,-0.020079499,-41.07744108
Balrampur Chini Mills Ltd.,Sugar,134.6,485.1192729,0.5918,2.079162847,-0.050200398,0.009270798,0.003523327,61.57203119,-0.019692144,73.23037323
Accel Frontline Ltd.,IT,57.15,25.02046212,0.25,0.022093779,-0.076651331,0.076055875,0.045526581,194.1890592,-0.019202667,-33.85416667
Jindal Saw Ltd.,Metals & Mining,57.9,272.3413207,0.4641,0.548782585,-0.037962918,0.060417707,0.063993695,305.6705893,-0.016549599,-3.596403596
Himachal Fibres Ltd.,Textile ,12.19,15.46612898,0.4546,0.001589084,-0.04357978,0.072472183,0.053945263,54.73287742,-0.016302311,-79.8011599
Insilco Ltd.,Chemicals,26.9,24.81661475,0.2689,0.006245981,-0.010165264,0.015887972,-0.055057965,22.95820787,-0.015972058,11.61825726
Orient Paper & Industries Ltd.,Diversified,74.45,224.3671328,0.6177,0.586151872,-0.065649445,0.000418681,-0.017893877,76.64919004,-0.015885975,81.14355231
Thangamayil Jewellery Ltd.,Diamond & Jewellery,192.7,38.89031069,0.2965,0.024388328,-0.157867961,-0.010924038,-0.003808444,365.4542159,-0.0156762,-11.80778032
Nahar Industrial Enterprises Ltd.,Textile ,107.4,62.91964072,0.3144,0.110124309,-0.045821012,0.042231503,0.035484918,286.5487913,-0.015507877,62.35827664
AGC Networks Ltd.,Telecom,91.5,38.3154064,0.25,0.011239285,-0.152383122,0.030984204,0.004568465,232.5148246,-0.015018689,-3.328050713
Madhucon Projects Ltd.,Infra.,41.15,44.66992691,0.4114,0.057990957,-0.099532712,0.081455642,0.223845433,456.2487653,-0.014871987,-45.06008011
Himadri Chemicals & Industries Ltd.,Metals & Mining,39.85,245.2714392,0.5105,0.733780606,-0.026851245,0.038390285,0.045244507,58.62828973,-0.014791536,150.6289308
India Glycols Ltd.,Chemicals,147.85,67.33829657,0.3893,0.266643517,-0.112202148,0.037162677,0.013597802,383.0654964,-0.014560974,41.55098133
Transformers & Rectifiers (India) Ltd.,Cap. Goods,355.75,69.37287932,0.251,0.058555486,-0.023431876,0.037907938,0.031569985,79.80911351,-0.014340962,17.72005295
Kingfa Science & Technology (India) Ltd.,Plastic Products,902.4,134.2126524,0.2501,1.476287313,-0.316054333,0.043801365,0.015143579,16.30192058,-0.014122977,21.74030354
Jubilant Life Sciences Ltd.,Pharma,704.45,1650.567719,0.4597,6.864657163,-0.03177934,0.063222718,0.070986349,35.29844267,-0.013854545,69.9517491
Gujarat Apollo Industries Ltd.,Cap. Goods,136.35,27.39836782,0.3976,0.00730301,-0.002922048,0.027640125,-0.130892896,29.51094373,-0.012986183,-2.780748663
Thirumalai Chemicals Ltd.,Chemicals,770.9,116.1091465,0.5829,1.234735013,-0.067418869,0.071149707,0.018419305,92.3491937,-0.012832725,265.7888493
Metalyst Forgings Ltd.,Auto Anc,62.6,33.84156938,0.4584,0.137204434,-0.026825165,0.082245195,0.130783463,692.8877245,-0.012457136,-19.01681759
DIC India Ltd.,Chemicals,473.45,63.92742639,0.2825,0.018366466,-0.032471886,-0.038696971,-0.019713403,112.9716994,-0.012406553,-35.25912758
Emco Ltd.,Cap. Goods,28.15,28.06547615,0.5454,0.083765083,-0.02388088,0.095729704,0.06980576,345.9343411,-0.011711011,-18.87608069
Urja Global Ltd.,Power,1.54,11.49010313,0.6648,0.00693017,-0.008951683,-0.001863219,-0.003737695,105.1589621,-0.011338363,-64.92027335
Mirc Electronics Ltd.,Cons. Durable,13.6,39.25838545,0.3773,0.066098697,-0.082144492,0.082920507,0.020044992,273.4536807,-0.010721588,-29.89690722
JMC Projects (India) Ltd.,Realty,221.35,109.3433552,0.3281,0.053481778,-0.059315193,0.069433091,0.05606662,225.9015096,-0.010420703,-10.93630548
Ruchi Infrastructure Ltd.,FMCG,3.7,11.17075234,0.4184,0.000536504,-0.070604862,-0.043864056,-0.016530155,1561.540458,-0.009292816,-57.95454545
Prism Cement Ltd.,Cement,84.2,623.4572367,0.2513,0.358064746,-0.04632894,0.068340502,0.033876094,90.69475286,-0.008656929,5.053025577
Gillanders Arbuthnot & Company Ltd.,Diversified,64,20.09282254,0.3126,0.004979351,-0.029139746,0.045795662,0.025147879,435.6175437,-0.008465876,-12.14824983
Windsor Machines Ltd.,Cap. Goods,47.5,45.37011327,0.4225,0.019716091,-0.042366128,0.048471339,-0.003536149,57.08213653,-0.008263113,-4.233870968
Oil Country Tubular Ltd.,Iron & Steel,40.2,26.19062927,0.5078,0.028660101,-0.008367194,0.029144028,0.033825963,99.22529822,-0.008042257,27.21518987
Supreme Infrastructure India Ltd.,Infra.,88.45,33.43661341,0.4983,0.041532149,-0.017957358,0.06436032,0.156637728,542.492602,-0.007916593,-36.25225225
Taj GVK Hotels & Resorts Ltd.,Hospitality,108.75,100.3057847,0.2501,0.084798142,-0.005640647,0.042604199,0.096595614,24.72768652,-0.007902174,5.377906977
Gokaldas Exports Ltd.,Textile ,66.95,34.39845232,0.5256,0.518356343,-0.058974767,0.016306264,-0.007713683,316.9420211,-0.007640579,-3.669064748
Indo Rama Synthetics (India) Ltd.,Textile ,35.05,78.27845373,0.2799,0.047986844,-0.03395203,0.029784362,-0.015811096,357.2847785,-0.006893667,-3.708791209
Jindal Steel & Power Ltd.,Metals & Mining,73.55,989.8671937,0.3811,10.87090535,-0.006108226,0.05094124,0.141700776,195.9926556,-0.006871928,-21.29481006
Jayaswal Neco Industries Ltd.,Iron & Steel,8.1,76.09484416,0.3121,0.006590216,-0.009049453,0.04859241,0.090509674,397.4342984,-0.006487516,-21.73913043
Rushil Decor Ltd.,Const. Materials,575.15,121.8322976,0.4495,2.130743323,-0.023238775,0.11116035,0.077430044,22.62584683,-0.006275941,110.6005126
Uttam Value Steels Ltd.,Iron & Steel,0.35,34.00797286,0.5388,0.006141433,-0.098044451,0.131186268,0.035366236,1490.853342,-0.006155709,-58.82352941
Omax Autos Ltd.,Auto & Auto Anc.,77.9,24.50929259,0.4376,0.040218918,-0.02968392,0.033041133,0.008544289,446.8888671,-0.005496246,-9.785755646
DCM Ltd.,Textile ,108.75,29.87945296,0.5146,0.075855773,-0.024161488,0.032215615,0.01488646,321.8575324,-0.005427929,12.92834891
Ballarpur Industries Ltd.,Paper,15.75,151.8755484,0.5057,0.217425773,-0.011920562,0.030310856,0.0648469,322.2638569,-0.005284952,-21.44638404
JK Paper Ltd.,Paper,89.95,196.5332339,0.4226,0.609317327,-0.015674578,0.05114476,0.05904855,122.9038953,-0.005112877,87.39583333
Nitta Gelatin India Ltd.,Chemicals,220.55,29.45584935,0.2551,0.01169937,-0.016786153,0.05069842,0.025432079,121.3443645,-0.005091904,27.63310185
Ugar Sugar Works Ltd.,Agri,32.1,53.12223921,0.5421,0.359212786,-0.038340754,0.029660485,0.008509587,122.7545769,-0.0049839,127.6595745
Andhra Sugars Ltd.,Diversified,225.15,89.77873029,0.5292,0.412236679,-0.007376013,0.033850037,0.03374554,123.354596,-0.004388413,52.28271897
Yuken India Ltd.,Cap. Goods,420,18.53486228,0.475,0.004244891,-0.011040197,0.049345401,0.015381585,100.5066545,-0.003381866,-14.28571429
Bajaj Electricals Ltd.,Cons. Durable,229.1,341.1356326,0.3645,0.429053303,-0.020206617,0.078241695,0.014084467,124.8215957,-0.003313677,13.1078746
DCW Ltd.,Chemicals,31.2,100.8246428,0.5096,0.542347533,-0.007326011,0.011315468,0.008182032,124.4208028,-0.003260345,11.42857143
Swelect Energy Systems Ltd.,Electricals,332.6,49.44398673,0.3568,0.027503152,-0.001046878,0.021469111,-0.042867697,44.86813034,-0.003200419,-28.47311828
MMTC Ltd.,Misc.,62.25,915.7104579,0.1007,0.486316887,-0.044157154,0.000449477,-0.001029432,261.3450769,-0.002596562,25.12562814
International Paper APPM Ltd.,Misc.,307.7,180.0123579,0.25,0.12158976,-0.005354226,0.038743554,0.017271523,63.04839919,-0.001956035,14.62097225
TD Power Systems Ltd.,Cap. Goods,175.1,85.61196744,0.4595,0.043273218,-0.001637394,0.021757469,-0.020581631,69.78486038,-0.001372518,-42.99202344
Savita Oil Technologies Ltd.,Auto & Auto Anc.,729.3,156.653407,0.2842,0.021720669,-0.004084696,0.055248592,0.014955874,118.0252403,-0.001254796,28.57898449
Tata Communications Ltd.,Telecom,633.6,2656.310548,0.2501,5.54464442,-0.033470415,0.058887933,0.026971828,67.61061885,-0.001044574,43.73865699
Bannari Amman Sugars Ltd.,Agri,1887.1,317.561883,0.4528,0.031339274,-0.000787033,0.044596152,0.08267423,29.28127555,-0.000806572,71.59354399
Chennai Petroleum Corporation Ltd.,Oil & Gas,321.6,704.4704942,0.3271,3.015300815,-0.019298153,-0.046968417,-0.00894084,594.2898382,-0.000778437,56.49635037
India Steel Works Ltd.,Iron & Steel,3.63,21.2567478,0.5011,0.000326402,-0.00148825,0.049492561,0.015385806,241.3192765,-0.000565339,6.764705882
Linde India Ltd.,Industrials,349.75,438.7783932,0.25,0.063011166,-0.000468659,0.036029041,0.055826079,33.98859249,-0.000442553,11.95582586
The India Cements Ltd.,Cement,125.4,566.6402223,0.717,7.655391775,-9.36E-05,0.06839915,0.090893093,89.30545875,-6.52E-05,28.2208589
Zenotech Laboratories Ltd.,Healthcare,38,19.24455571,0.3315,0.001824503,0.058121525,-0.473521851,-1,2.11836535,0,-37.19008264
Moser Baer India Ltd.,Cons. Durable,7.3,23.8142344,0.6353,0.046776706,0.058121525,-0.221652424,-0.417324268,490.645179,0,-45.52238806
S&T Corporation Ltd.,Realty,200,18.72974606,0.2494,1.476287313,0.058121525,0.007075244,0.053709573,0.971012786,0,3.896103896
India Power Corporation Ltd.,Power,42.15,603.7839261,0.3169,0.012889006,0.058121525,0.059419904,0.113062892,11.89769831,0,228.0155642
Suyog Telematics Ltd.,Telecom,525,78.42100231,0.5037,0.007695284,0.058121525,0.134831597,0.325521427,2.768659461,0,343.0379747
Hubtown Ltd.,Realty,98.75,105.6585291,0.2841,0.00503775,1.18E-05,0.118081682,0.713746731,41.95793788,4.51E-05,-11.35547576
Aarvee Denims & Exports Ltd.,Textile ,84.55,29.17808292,0.342,0.017126128,0.00073982,0.05966336,0.047666743,255.5039007,0.000254859,30.37779491
Petron Engineering Construction Ltd.,Infra.,141.95,15.74103894,0.2753,0.025030274,0.000991409,0.106593405,0.066222779,263.1229643,0.000386303,-46.11880812
Allied Digital Services Ltd.,IT,37.35,25.37620191,0.5514,0.084002519,0.000149201,0.01656058,0.027422682,92.11599152,0.000427798,-35.87982833
Dish TV India Ltd.,Media & Ent.,86,1348.439123,0.3556,6.665222759,0.006901179,0.159442533,0.042877583,20.62859163,0.00077652,-17.10843373
Unisys Softwares & Holding Industries Ltd.,IT,44.1,14.92069388,0.8018,5.41E-06,0.006298551,0.031223283,0.004802484,319.3234479,0.000776572,0.227272727
Patel Engineering Ltd.,Infra.,81,187.0633901,0.4937,0.783665104,0.001508599,0.078537045,0.145159574,153.709713,0.00096684,2.53164557
KG Denim Ltd.,Textile ,86.1,32.491927,0.4141,0.031352766,0.010452415,0.149513968,0.045315602,190.4554938,0.001018056,44.34199497
SPML Infra Ltd.,Infra.,55.8,30.08363113,0.4031,0.013339171,0.004320669,0.140012428,0.068688906,606.2291457,0.00110212,-29.89949749
Gokul Refoils and Solvent Ltd.,FMCG,21,40.74425946,0.2553,0.004045699,0.017701453,0.120467274,0.011792761,1441.684296,0.001123589,5.527638191
